group,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
suppression,8,122.31189423635408,121.59131359521803,27.847483425398195,256.2161580520263,256.71849134988094,55.22687099373829,55.31200027622885,0.12700829622232995,0.021253160048384425,11934,False,,baseline
suppression,16,113.574960537121,120.57674102042142,26.122665503749545,237.50707994107705,237.94312125823652,52.180111616496866,52.255350212771795,0.11431951774269765,0.020069223821607477,11934,False,,baseline
suppression,24,124.24460114088129,122.52911433442819,27.061714546713915,256.6027222477529,257.1137913391162,54.14492392846588,54.22873217595937,0.13069439641833488,0.022409896466494265,11934,False,,baseline
suppression,28,345.8507397308431,405.2907075931498,80.69849220540584,492.820789633601,493.7424655937882,110.94031452392959,111.0896453393782,0.23961041473317318,0.0378001946517467,11934,False,,high
enhancement,8,120.48720182318573,119.00206471170918,27.129209629451964,254.03657938385194,254.54031214832116,54.412762000630536,54.50493426706164,0.12862178582486863,0.022802414040207646,11970,False,,baseline
enhancement,16,112.55832274808847,118.88188213098931,25.758719424590936,235.9696185863294,236.40004366180295,51.68719944622647,51.75855645805352,0.11360119827988105,0.018857280921558743,11970,False,,baseline
enhancement,24,122.90796045240654,122.95190663850394,26.675786975978724,254.7345694515987,255.28566356305652,53.68243747692029,53.762579189730445,0.14197222121427,0.021329614665197172,11970,False,,baseline
enhancement,28,343.9853769801416,406.02162070376653,79.77379720917628,491.12691516450354,492.10728539931654,110.02593493608097,110.17047241033039,0.24314189673763092,0.03911941463987524,11970,False,,high
control,8,136.25183890677806,134.31992402082847,30.862823518436414,302.6596965810529,303.3304772998957,64.05378478399868,64.15625037060806,0.16990875762844654,0.026469279689430233,9618,False,,baseline
control,16,121.52186751315753,126.41597683137923,27.70469708189063,273.8816804709978,274.4575690949984,59.01156848039728,59.11316627276425,0.1503616382111776,0.026236975795274814,9618,False,,baseline
control,24,136.77713185408493,134.91141880514715,29.46028764147883,298.2407964735148,298.9420188969776,61.7110856206051,61.81978200247906,0.18444479534423594,0.028223358892889183,9618,False,,baseline
control,28,379.92521767793323,450.78707986990776,87.22950708266814,563.0373848258738,564.2362052284689,123.85420944267264,124.0359389952249,0.31069799974651524,0.04875184437003556,9618,False,,high
