layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
8,112.60714139395236,111.91317926641841,25.74334688182614,158.27381212630237,158.45524711148892,35.607158329530456,35.63773155461347,0.047638639781958855,0.007884267458757204,33522,False,,baseline
16,106.84340077234822,112.85169500863537,24.64907251823928,150.57576240940625,150.74218681737202,34.33071876104611,34.36095212849141,0.043411734372237436,0.007775297443175691,33522,False,,baseline
24,115.47795733068926,114.77303083638685,25.253235036994056,162.11193366339984,162.31351638125375,35.34048583505304,35.373124760062005,0.05060149082714513,0.008474233375398307,33522,False,,baseline
28,335.04297067425705,395.25348220948695,78.27538730178208,386.66919747970286,387.12791277150626,89.400833603206,89.47791372091567,0.11686425833234787,0.020129183745560407,33522,False,,high
