model_type,layer,best_val_loss,final_train_loss,final_train_recon,final_train_l0,final_val_loss,final_val_recon,final_val_l0,epochs_trained,meets_recon_threshold,sparsity_ratio,meets_sparsity_target,passes_validation
base,6,0.09162456973281223,0.00019174428660677283,0.00019174428660677283,0.03124795408330412,0.09162456973281223,0.09162456973281223,0.03125001192092895,100,False,31.99998779297341,True,False
base,12,0.4021693147835322,0.000924334436471964,0.000924334436471964,0.031249955169156067,0.4021693147835322,0.4021693147835322,0.03125,100,False,32.0,True,False
base,18,1.1626121774315834,0.007717798038139048,0.007717798038139048,0.03124984920534313,1.1626121774315834,1.1626121774315834,0.03125,100,False,32.0,True,False
chat,6,0.07863853261223994,0.00024636686940251605,0.00024636686940251605,0.031248455373649925,0.07863853261223994,0.07863853261223994,0.031249737739562987,100,False,32.00026855694132,True,False
chat,12,0.43101240130490626,0.0012182247960287281,0.0012182247960287281,0.031249922564905934,0.43101240130490626,0.43101240130490626,0.031249988079071044,100,False,32.00001220703591,True,False
chat,18,1.6286063433624804,0.010141939991432378,0.010141939991432378,0.031249906262780867,1.6286063433624804,1.6286063433624804,0.031249964237213136,90,False,32.000036621135656,True,False
delta,6,0.0034014919168839698,3.803474467912386e-05,3.803474467912386e-05,0.031249991848937467,0.0034014919168839698,0.0034014919168839698,0.03125,100,True,32.0,True,True
delta,12,0.011409314651973545,0.00019818127755290613,0.00019818127755290613,0.03125,0.011409314651973545,0.011409314651973545,0.03125001192092895,100,True,31.99998779297341,True,True
delta,18,0.04710361508186907,0.001777919267033601,0.001777919267033601,0.03125,0.04710361508186907,0.04710361508186907,0.03125,45,True,32.0,True,True
