model_type,layer,best_val_loss,final_val_recon,final_val_aux,final_val_l0,epochs_trained,sparsity_ratio,passes_recon,passes_sparsity,passes_validation
base,6,0.0006057855821063351,0.0006057855725595372,0.0,0.03125,95,32.0,True,True,True
base,12,0.0013130138610388824,0.001313013826559185,0.0,0.03125,100,32.0,True,True,True
base,18,0.0061334170323980464,0.006133416866302301,0.0,0.03124957175771142,100,32.00043852611296,True,True,True
chat,6,0.0006476373816388036,0.0006476373651404538,0.0,0.03125,100,32.0,True,True,True
chat,12,0.0016680079898619016,0.0016680079527869583,0.0,0.03125,100,32.0,True,True,True
chat,18,0.00786573474538649,0.007865734582256739,0.0,0.03124977524872798,100,32.000230146957776,True,True,True
delta,6,7.007592681173983e-05,7.007592562997601e-05,0.0,0.031249933182054265,100,32.00006842172273,True,True,True
delta,12,0.00021968536317321785,0.00021968535909497411,0.0,0.031247187571920406,100,32.002880185563576,True,True,True
delta,18,0.0012316694242173842,0.0012316694090166575,0.0,0.03124628552965298,100,32.00380406979869,True,True,True
