layer,model,task,total_mdl,data_cost,model_cost,fisher_info,sparsity,accuracy,bits_ci_lower,bits_ci_upper,acc_ci_lower,acc_ci_upper
8,base,attribute,205865.0149230957,20400.512969970703,185464.501953125,5.534993667473861e-07,0.9993896484375,0.19066937119675456,2.383777581461033,2.4723447059302526,0.17036894526746538,0.20405286252498628
8,base_control,attribute,182722.30029296875,20858.005859375,161864.29443359375,2.1993059817759786e-08,1.0,0.16322634530485622,2.4717160110225542,2.493499005503125,0.15755208333333334,0.17415434908535746
8,base,state,566941.6257324219,23114.184326171875,543827.44140625,2.3968711608072606e-08,0.9761103987693787,,2.1133531586290597,3.164856272935867,0.632373046875,0.7448124342494541
8,base_control,state,462121.06213378906,64563.98205566406,397557.080078125,8.445324439776414e-09,1.0,,7.680489483375818,7.7310372862866314,0.08211835540003247,0.09475584162606134
8,base,correctness_base,20221.015095710754,667.0340776443481,19553.981018066406,7.32497890491383e-08,1.0,,0.06463166787691506,0.09558795390761228,0.4829394645161099,0.8378900183571709
8,base_control,correctness_base,20183.192519187927,667.0487203598022,19516.143798828125,5.777869205303432e-08,1.0,,0.07867745827327206,0.08007393551783429,0.6606960720486111,0.6771417299906413
8,base,multitask_dual,5198733.212402344,95530.08740234375,5103203.125,1.3602003277363956e-06,1.0,0.09724376566042238,10.813387746281094,11.701993929015266,0.051317311223182414,0.08089862982225086
8,base_control,multitask_dual,5192672.247314453,85415.99731445312,5107256.25,1.2577440129073786e-08,1.0,0.16322634530485622,10.16057695019322,10.217517626124366,0.12168250723431508,0.13259684244791667
8,base,multitask_triple_base,5198793.901123047,95967.33862304688,5102826.5625,1.1572319098047185e-06,1.0,0.09724376566042238,10.79622091064027,11.776424707306756,0.2026260376666431,0.32121092463947004
8,base_control,multitask_triple_base,5193810.169921875,86093.763671875,5107716.40625,3.914324410590907e-08,1.0,0.16322634530485622,10.24062717653316,10.299019209824191,0.3021918402777778,0.3131988101121452
8,instruct,attribute,205814.60763549805,20530.647674560547,185283.9599609375,5.594771640785959e-07,0.99951171875,0.21405560195680706,2.383925699872315,2.4807123674286737,0.20358903805414838,0.22182363006803724
8,instruct_control,attribute,182744.17483520508,20857.822296142578,161886.3525390625,2.1721537753667992e-08,1.0,0.16322634530485622,2.471700137065201,2.49348601102829,0.15755208333333334,0.17415434908535746
8,instruct,state,567262.0594787598,23436.571197509766,543825.48828125,2.5769069100789466e-08,0.9756401777267456,,2.1344815771468317,3.1948175271352133,0.6201090494791667,0.7405193544096417
8,instruct_control,state,462308.9951171875,64563.51171875,397745.4833984375,8.175331226804397e-09,1.0,,7.6804610231636135,7.730994072624825,0.08211835540003247,0.09475584162606134
8,instruct,correctness_instruct,20232.124232292175,680.3725233078003,19551.751708984375,7.117206735074433e-08,1.0,,0.06874917975316445,0.09463585263171805,0.45907163619995117,0.8205054799715678
8,instruct_control,correctness_instruct,20199.234811782837,680.5229587554932,19518.711853027344,9.776215392776066e-08,1.0,,0.08053117495091486,0.08176698950138479,0.6387787886791759,0.6565129096309344
