layer,task,mdl_base_self,mdl_instruct_transfer,drift,transfer_ratio,acc_base,acc_instruct,acc_delta,drift_ci,transfer_ratio_ci,acc_delta_ci,is_isomorphic
8,attribute,2.5944734220530328,2.598908697951575,0.004435275898542201,1.0017095090899149,0.14142091572284698,0.13371314108371735,-0.007707774639129639,"{'point_estimate': 0.00442609198930757, 'ci_lower': 0.004351292546249255, 'ci_upper': 0.004503960473927362, 'ci_level': 0.95, 'std_error': 3.847986886119514e-05, 'n_bootstrap': 1000}","{'point_estimate': 1.0017051176469596, 'ci_lower': 1.0016765157151808, 'ci_upper': 1.0017352407315425, 'ci_level': 0.95, 'std_error': 1.483674525890518e-05, 'n_bootstrap': 1000}","{'point_estimate': -0.007717828080058098, 'ci_lower': -0.008063044705428183, 'ci_upper': -0.007397704568691552, 'ci_level': 0.95, 'std_error': 0.00016566017867291773, 'n_bootstrap': 1000}",True
8,state,4.050832958068029,3.9323229751382374,-0.11850998292979176,0.9707442928018654,0.5281501412391663,0.5388740301132202,0.010723888874053955,"{'point_estimate': -0.05243522582680545, 'ci_lower': -0.053067841517062335, 'ci_upper': -0.05180025347180403, 'ci_level': 0.95, 'std_error': 0.00032428249490715964, 'n_bootstrap': 1000}","{'point_estimate': 0.9708817401955271, 'ci_lower': 0.9705550604464113, 'ci_upper': 0.9711975502157556, 'ci_level': 0.95, 'std_error': 0.00016566895763273434, 'n_bootstrap': 1000}","{'point_estimate': 0.010924931764602661, 'ci_lower': 0.010447300106287003, 'ci_upper': 0.01142434538155794, 'ci_level': 0.95, 'std_error': 0.000248918022141271, 'n_bootstrap': 1000}",False
16,attribute,2.4986240090377847,2.507673575475452,0.009049566437667522,1.0036218200117082,0.14678284525871277,0.14108578860759735,-0.0056970566511154175,"{'point_estimate': 0.009134011767185425, 'ci_lower': 0.009055452607592065, 'ci_upper': 0.009222632666375637, 'ci_level': 0.95, 'std_error': 4.36843124975779e-05, 'n_bootstrap': 1000}","{'point_estimate': 1.0036547087410113, 'ci_lower': 1.0036234224885636, 'ci_upper': 1.003690300625449, 'ci_level': 0.95, 'std_error': 1.74747866424061e-05, 'n_bootstrap': 1000}","{'point_estimate': -0.005769102573394775, 'ci_lower': -0.006077455589547753, 'ci_upper': -0.005465776540338993, 'ci_level': 0.95, 'std_error': 0.00015762351193039133, 'n_bootstrap': 1000}",True
16,state,3.373404577014913,3.3403169770023458,-0.033087600012567275,0.9901916300706967,0.5904825925827026,0.5861260294914246,-0.004356563091278076,"{'point_estimate': -0.014754300769468421, 'ci_lower': -0.015391351592444869, 'ci_upper': -0.014136737854167537, 'ci_level': 0.95, 'std_error': 0.00032160364174156847, 'n_bootstrap': 1000}","{'point_estimate': 0.9901606105548386, 'ci_lower': 0.9897473347754608, 'ci_upper': 0.9905499385246287, 'ci_level': 0.95, 'std_error': 0.00021072386130183452, 'n_bootstrap': 1000}","{'point_estimate': -0.004009716510772705, 'ci_lower': -0.004512733846902847, 'ci_upper': -0.0035472517609596256, 'ci_level': 0.95, 'std_error': 0.0002501676485129376, 'n_bootstrap': 1000}",True
24,attribute,2.615409953344923,2.614576078931384,-0.000833874413538993,0.9996811687542626,0.10790885239839554,0.10857909172773361,0.0006702393293380737,"{'point_estimate': -0.0008360441887985992, 'ci_lower': -0.0008669080555279161, 'ci_upper': -0.0008041244384111371, 'ci_level': 0.95, 'std_error': 1.638086187727877e-05, 'n_bootstrap': 1000}","{'point_estimate': 0.9996805529092329, 'ci_lower': 0.9996687252140994, 'ci_upper': 0.9996926574673731, 'ci_level': 0.95, 'std_error': 6.23426622411539e-06, 'n_bootstrap': 1000}","{'point_estimate': 0.0006869974359869957, 'ci_lower': 0.0005395021941512824, 'ci_upper': 0.0008210875540971756, 'ci_level': 0.95, 'std_error': 7.038549977635983e-05, 'n_bootstrap': 1000}",True
24,state,4.100365360045242,4.024737728824564,-0.0756276312206774,0.9815558798838738,0.5482574105262756,0.5536193251609802,0.00536191463470459,"{'point_estimate': -0.033505991099666975, 'ci_lower': -0.03395835577834388, 'ci_upper': -0.03306460115161721, 'ci_level': 0.95, 'std_error': 0.00022767771490652707, 'n_bootstrap': 1000}","{'point_estimate': 0.9816346416490417, 'ci_lower': 0.9813843652812179, 'ci_upper': 0.9818580814572536, 'ci_level': 0.95, 'std_error': 0.0001178163377203125, 'n_bootstrap': 1000}","{'point_estimate': 0.005005025863647461, 'ci_lower': 0.004532422363758087, 'ci_upper': 0.005434149451553821, 'ci_level': 0.95, 'std_error': 0.00023291395422476887, 'n_bootstrap': 1000}",True
28,attribute,2.629280151694454,2.6268258184274464,-0.0024543332670075024,0.9990665379398899,0.13404826819896698,0.1323726624250412,-0.0016756057739257812,"{'point_estimate': -0.002473812972572451, 'ci_lower': -0.002548496133840084, 'ci_upper': -0.0023966738007982543, 'ci_level': 0.95, 'std_error': 3.7242401920634734e-05, 'n_bootstrap': 1000}","{'point_estimate': 0.9990596466297224, 'ci_lower': 0.9990315002854592, 'ci_upper': 0.9990886960321994, 'ci_level': 0.95, 'std_error': 1.4089919303101644e-05, 'n_bootstrap': 1000}","{'point_estimate': -0.0016756027936935425, 'ci_lower': -0.0019085115622729063, 'ci_upper': -0.0014526644125580788, 'ci_level': 0.95, 'std_error': 0.00011654116561621029, 'n_bootstrap': 1000}",True
28,state,4.571466768075569,4.672677129586964,0.10121036151139418,1.0221395815929775,0.4963136911392212,0.48760056495666504,-0.008713126182556152,"{'point_estimate': 0.04537157564955809, 'ci_lower': 0.04475529267257406, 'ci_upper': 0.045942807972271384, 'ci_level': 0.95, 'std_error': 0.00030529452275096275, 'n_bootstrap': 1000}","{'point_estimate': 1.0223158916604347, 'ci_lower': 1.022012615927824, 'ci_upper': 1.0225938926262481, 'ci_level': 0.95, 'std_error': 0.0001467014301243648, 'n_bootstrap': 1000}","{'point_estimate': -0.008815347701311111, 'ci_lower': -0.009338136170059443, 'ci_upper': -0.008265707165002823, 'ci_level': 0.95, 'std_error': 0.0002692512004323942, 'n_bootstrap': 1000}",False
