layer,task,model,high_mean,low_mean,diff_high_minus_low
28,attribute,base,0.004326923076923077,0.0,0.004326923076923077
28,state,base,0.5836787071536408,0.3017189322005664,0.2819597749530744
28,attribute,instruct,0.004807692307692308,0.0,0.004807692307692308
28,state,instruct,0.6254409577355853,0.2819075953094881,0.34353336242609717
