attribute,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Art,8,212.15949227008878,210.0651329271633,47.02464772881791,799.5214881314861,803.8405925196945,138.6117440661236,139.06511870506282,1.1009027219211527,0.11739633284399761,2781,False,,baseline
Art,16,186.40628157642755,194.34502723859737,41.49908358139072,683.8176162516866,687.1785711943095,122.4801411952633,122.88598038590058,0.8446096149364497,0.09866863700765763,2781,False,,baseline
Art,24,213.1186491994997,211.25675933766104,45.10613065647368,689.4204500260603,692.7471942090048,122.98016484937615,123.35316667717112,0.8300916978989759,0.0959393791222333,2781,False,,baseline
Art,28,567.4548173856933,669.7304236726957,128.66524833267215,1152.9773606489043,1157.4997678242587,224.00915481592764,224.57554385804997,1.1659906542278125,0.13559395478139163,2781,False,,high
Costume,8,307.43435220115634,297.0483923264269,65.84144422716048,1230.5060531401837,1239.0963189303352,188.01992070091998,188.70174286825653,2.197478226088716,0.17846851104519248,2103,False,,baseline
Costume,16,247.4539242186222,254.211476605744,52.6311660691141,977.9392117953067,984.4066725043418,156.3258982489231,156.8871015582046,1.7013094983996508,0.14458792313203592,2103,False,,baseline
Costume,24,267.5159316967463,263.335576798135,56.233890134963815,952.5095344216377,959.0331789644731,154.8276509091408,155.3714102409742,1.651321352623876,0.1326767208927088,2103,False,,baseline
Costume,28,706.051293088053,815.7004802010781,149.00454120830824,1464.4871644636678,1472.4271195317608,261.2231857626343,261.98171914978633,1.9622314252869817,0.19348411797918835,2103,False,,high
Cuisine,8,267.81276868740724,263.6016017126494,57.68568088592406,873.8189867861761,878.0875196214557,150.7028455197266,151.17067580833466,1.1018745216743904,0.11688182327010552,3177,False,,baseline
Cuisine,16,215.47207687174648,227.17434987196157,46.85089006114089,737.9357950008836,741.6472271746295,130.75132804845137,131.13569528928767,0.9204922154658071,0.10139586386499899,3177,False,,baseline
Cuisine,24,248.91988594455825,241.7730977998151,51.98107859191481,752.128800058283,756.1281078068553,132.42779880533215,132.83259585691823,1.0326036084177224,0.10111158808790388,3177,False,,baseline
Cuisine,28,669.8026096805283,811.5607296817802,148.16006351399875,1281.1190495304543,1286.449251255938,244.67120513978054,245.33806300359294,1.3877048710119781,0.17120140223062522,3177,False,,high
Cultural_Common_Sense,8,166.3538890097334,160.77926762985805,36.576032404093155,674.1408506301836,677.6698452603832,119.76604718748115,120.15845841511162,0.8744953063691256,0.10078590035502427,3363,False,,baseline
Cultural_Common_Sense,16,137.06619241027374,143.44549813541528,30.819896973825394,544.6768233969099,547.2180218276828,101.69952057281398,102.00940807943152,0.6348642425041074,0.07777453043053284,3363,False,,baseline
Cultural_Common_Sense,24,159.24130242188573,156.87892064451012,33.11637635145769,567.3407987332923,569.9858657704788,103.16531063356047,103.4825273089837,0.680835800373368,0.08159861527527132,3363,False,,baseline
Cultural_Common_Sense,28,425.68038367558324,502.9583844919232,94.06356002194224,904.4990744319173,907.7543730458785,176.98419247643233,177.37840654280572,0.837920990047478,0.1030240151622472,3363,False,,moderate
Dance_and_Music,8,296.90035814828684,290.55223534427114,65.04372189939949,1050.3411665660371,1055.8956498548953,173.6418152667504,174.17948135491125,1.421210258364499,0.13547001394836022,2874,False,,baseline
