region,layer,n_states,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
East,8,4,170.79029873104946,167.90461397790648,37.53282585810683,578.8788368977714,581.0927679357088,107.86800676636419,108.18987551553738,0.5879103249797609,0.07908163020923868,4167,False,,baseline
East,16,4,146.30161992605895,153.08412062980983,32.80541102299634,497.6371655596896,499.7591534029376,96.09268642221421,96.3573828971223,0.5288047646423375,0.06885245072141094,4167,False,,baseline
East,24,4,168.92127489006805,168.12093041630146,36.01763186027546,538.5023572102059,540.8433708041655,100.78741626891508,101.06408059488936,0.5792823184748178,0.07258371117609426,4167,False,,baseline
East,28,4,488.72706931318726,575.8926917752285,109.51213585028847,940.999503190682,944.4041280616894,187.33404257334124,187.75716763358648,0.8897270004835457,0.10732516804169555,4167,False,,high
Island,8,2,246.94772134651976,234.14174830462684,50.21693919938008,1551.7357696555039,1572.8854407710382,160.01020829231007,160.9788653565885,5.368858333741247,0.25169398193560566,645,False,,baseline
Island,16,2,189.95298314231604,195.16401722332716,39.1973409998086,1154.2482064493377,1168.8050104591064,132.36545158805254,133.17115862196152,3.697724116203913,0.20095651251836377,645,False,,baseline
Island,24,2,173.94250271089277,169.2383360559685,36.40404157768171,931.8026910563984,944.6722501026436,116.91375612019583,117.68090007744728,3.2366944488639273,0.1848190680060352,645,False,,baseline
Island,28,2,476.8964982506743,567.4972816938912,109.04645292467933,1239.096268979649,1251.4370735871394,200.151633277293,200.95907339781039,3.1064205471454565,0.21626386895468577,645,False,,high
North,8,8,142.50046159017415,140.250759705806,31.51482899577286,360.3452044173232,361.3060631638189,73.5116526107084,73.66031092454914,0.25285533506114716,0.03787882646970023,7602,False,,baseline
North,16,8,123.24107180874603,130.64498359394372,28.031969348901214,316.8683024946425,317.6784534595166,66.76285790264909,66.8942707583972,0.21047715202256936,0.034591442574562384,7602,False,,baseline
North,24,8,143.9355340543408,142.52188400592036,30.763421780838712,352.23344299580407,353.2354953056911,71.06589436038738,71.21662822188352,0.25485075835053606,0.03730739091803723,7602,False,,baseline
North,28,8,388.50554345701266,458.56682405868605,89.45794871664725,626.3329029745454,627.9189407323784,135.5532096463759,135.79457379089476,0.4113514995671887,0.059042868177724174,7602,False,,moderate
Northeast,8,8,149.47961326589711,147.1140673981531,33.50154075072584,335.38260234564996,336.1327546051373,69.79818400852085,69.91796113201116,0.19623187548323168,0.03019425051119953,8961,False,,baseline
Northeast,16,8,134.3360352872229,141.6081873659449,30.507253721755205,304.4176175312483,305.1074811457632,64.82572580217615,64.9291123079415,0.17632364738767148,0.027379540983730702,8961,False,,baseline
Northeast,24,8,159.8662969730574,157.5897190974149,34.03061755441399,342.1252014321101,342.9815930479878,69.56606035807944,69.68860711550639,0.2174611741977789,0.031510069742968196,8961,False,,baseline
Northeast,28,8,441.3098650402842,521.3897854214185,98.62662476882247,653.2248784537288,654.653031374103,139.14355710705908,139.35949206884916,0.3583544135458587,0.05505016079243556,8961,False,,high
Other,8,2,272.2785858640848,258.31795477309663,56.462824979229254,1399.5418627936035,1413.3360282995686,170.7350434230803,171.55410991270375,3.6971672288100392,0.2178901479037516,924,False,,baseline
Other,16,2,232.30879306845918,239.2877214740928,48.25577078893815,1203.8809358887358,1215.331139434092,152.18420949565078,152.90269197541895,3.0254627219183323,0.18322613840433816,924,False,,baseline
Other,24,2,248.43636078764075,238.20444912430878,49.070280511762235,1079.1459772643093,1089.650717872899,142.99589214870178,143.725102245494,2.9005650793775053,0.18521545810233517,924,False,,baseline
Other,28,2,605.3488418364752,710.572491130441,132.19202838465463,1398.8711916197612,1408.798838342771,235.02054738688759,235.92719755041833,2.6389133592212137,0.2336353692120059,924,False,,high
South,8,6,149.511316404946,147.98605174457896,33.319272237659106,361.6607682206261,362.64465150163016,74.27252064635063,74.40443520028674,0.24953224400319232,0.036133637684067736,7716,False,,baseline
South,16,6,129.0230015940623,134.46720698069305,29.204264767303357,319.84154456755175,320.6860819755778,67.26355492529592,67.39111648453365,0.21778844535289926,0.03299172181723098,7716,False,,baseline
South,24,6,150.44138521613263,147.56557334136482,32.23407442667968,352.8026590346411,353.75809205867375,71.47192133160755,71.61317236969842,0.23330461476427833,0.03522235496031726,7716,False,,baseline
South,28,6,402.6659942013539,474.5546106666702,91.53921846014634,636.8622409715648,638.5449826396875,136.62989828880822,136.84215964045632,0.43771273439718256,0.057682731478513896,7716,False,,high
West,8,6,180.82186257848866,178.0617981078442,40.016247640889674,674.1785870535306,677.3877228880599,121.33071278394932,121.68589466215,0.833810456026017,0.09235791511919485,3507,False,,baseline
West,16,6,153.07733475331315,158.42776005981045,33.79074092036234,562.5915337820896,565.3924697068549,104.78300485691868,105.09501346056334,0.6546558786715422,0.07701579854155147,3507,False,,baseline
West,24,6,180.87497485279835,177.80612642081007,38.08840015850052,598.5360781507133,601.3483023634942,109.03221910507345,109.36280013774025,0.7044105458403858,0.08032146865027882,3507,False,,baseline
West,28,6,504.6596043168886,594.0092215733241,113.2570387409566,1001.8021084603467,1005.5763357323178,197.58066460446256,198.032202720178,1.0077364839759422,0.11579188872300122,3507,False,,high
