layer,task,model,mdl_suppression,mdl_enhancement,mdl_delta_supp_minus_enh
28,attribute,base,154544.990234375,154687.08862304688,-142.098388671875
28,attribute,instruct,154643.39233398438,154646.92944335938,-3.537109375
28,state,base,357761.875,356726.6784667969,1035.196533203125
28,state,instruct,357408.669921875,356962.2802734375,446.3896484375
