layer,task,mdl_base_self,mdl_instruct_transfer,drift,is_isomorphic
8,attribute,2.57406572738604,2.586668080693816,0.012602353307776148,True
8,state,4.013026070470923,3.920689442978046,-0.09233662749287719,True
16,attribute,2.4871681946015585,2.4869628006116975,-0.00020539398986096913,True
16,state,3.574281595651081,3.539002927559913,-0.035278668091168086,True
24,attribute,2.613913634364002,2.6097470004294454,-0.004166633934556518,True
24,state,3.966083642324451,3.8737587983911514,-0.09232484393329976,True
28,attribute,2.6047779388197587,2.605449110734037,0.0006711719142784567,True
28,state,4.388886597641193,4.459943753142283,0.07105715550108993,True
