layer,model,task,group,prior,data_cost,model_cost,total_mdl,fisher_info,sparsity,acc_attribute,acc_state,acc_correctness_base,acc_correctness_instruct
8,base,attribute,suppression,l2,2130.8476638793945,572.1697540283203,2703.017417907715,7.496305576282225e-09,0.0,0.9611194905312552,,,
8,base,state,suppression,l0,32979.643310546875,390679.5,423659.1433105469,2.9031751835884023e-08,0.9975947737693787,,0.30258086140439083,,
8,base,state,suppression,l1,3982.092086791992,7306.11181640625,11288.203903198242,3.6623876153996093e-09,0.0,,0.9705882352941176,,
8,base,state,suppression,l2,593.8145065307617,1113.1605834960938,1706.9750900268555,1.9629219777383966e-10,0.0,,1.0,,
8,base,correctness_base,suppression,l0,5983.0916748046875,21811.0283203125,27794.119995117188,1.0768756434724007e-07,1.0,,,0.799396681749623,
8,base,correctness_base,suppression,l1,5387.030670166016,293.9890594482422,5681.019729614258,4.842018171302698e-06,0.0,,,0.8202614379084967,
8,base,correctness_base,suppression,l2,5177.8740234375,27.721052169799805,5205.5950756073,5.893840381077098e-06,0.0,,,0.8266297972180325,
8,base,multitask_dual,suppression,l0,91887.6484375,5304259.5,5396147.1484375,4.630543494865691e-06,1.0,0.09904474610356963,0.049773755656108594,,
8,base,multitask_dual,suppression,l1,7693.280944824219,15213.263671875,22906.54461669922,4.146051335585099e-09,0.0,0.8965141612200436,0.9629629629629629,,
8,base,multitask_dual,suppression,l2,1568.9371795654297,2982.6474609375,4551.58464050293,6.029752181354227e-09,0.0,0.9677392324451148,1.0,,
8,base,multitask_triple_base,suppression,l0,94725.56982421875,5307311.25,5402036.819824219,3.4602885454266327e-06,1.0,0.09904474610356963,0.049773755656108594,0.799396681749623,
8,base,multitask_triple_base,suppression,l1,12968.089904785156,16091.6220703125,29059.711975097656,2.8433897042434708e-08,0.0,0.887967152673035,0.9638009049773756,0.8117982235629294,
8,base,multitask_triple_base,suppression,l2,5696.471252441406,3198.2281494140625,8894.699401855469,3.498083295423726e-08,0.0,0.9912016088486677,1.0,0.8284732696497402,
8,instruct,attribute,suppression,l0,30823.794311523438,173719.546875,204543.34118652344,4.71947655807566e-07,0.99951171875,0.1375062845651081,,,
8,instruct,attribute,suppression,l1,4462.492614746094,3074.9776611328125,7537.470275878906,1.783948988531847e-08,0.0,0.906318082788671,,,
8,instruct,attribute,suppression,l2,2089.493263244629,574.7179870605469,2664.211250305176,7.434704851760898e-09,0.0,0.9616222557399028,,,
8,instruct,state,suppression,l0,32545.232666015625,390662.3671875,423207.5998535156,3.89608732498381e-08,0.9973415732383728,,0.310038545332663,,
8,instruct,state,suppression,l1,3961.165008544922,7296.6416015625,11257.806610107422,3.7671324948362894e-09,0.0,,0.9715099715099715,,
8,instruct,state,suppression,l2,590.1135711669922,1109.1406860351562,1699.2542572021484,2.2507954527961616e-10,0.0,,1.0,,
8,instruct,correctness_instruct,suppression,l0,7896.776214599609,22329.71044921875,30226.48666381836,1.0108239697122674e-07,1.0,,,,0.6251885369532428
8,instruct,correctness_instruct,suppression,l1,6674.793548583984,397.67047119140625,7072.464019775391,2.0370721642848366e-07,0.0,,,,0.7119993296463885
8,instruct,correctness_instruct,suppression,l2,6390.106872558594,33.47546195983887,6423.582334518433,2.0151822610614545e-07,0.0,,,,0.7316909669850846
8,instruct,multitask_dual,suppression,l0,91419.58056640625,5304121.5,5395541.080566406,4.499331649349918e-06,1.0,0.09904474610356963,0.049773755656108594,,
8,instruct,multitask_dual,suppression,l1,7750.968353271484,15506.94580078125,23257.914154052734,5.368058571727137e-09,0.0,0.8973521032344561,0.9649740237975533,,
8,instruct,multitask_dual,suppression,l2,1244.8960342407227,2999.3366088867188,4244.232643127441,1.1967431975956622e-09,0.0,0.9825708061002179,1.0,,
8,instruct,multitask_triple_instruct,suppression,l0,97543.69873046875,5306853.0,5404396.698730469,3.4086789407133325e-06,1.0,0.09904474610356963,0.049773755656108594,,0.6251885369532428
8,instruct,multitask_triple_instruct,suppression,l1,14515.682983398438,15716.60302734375,30232.286010742188,3.988947186450709e-08,0.0,0.9015418133065192,0.9626277861571979,,0.6921401039048097
8,instruct,multitask_triple_instruct,suppression,l2,7770.664245605469,3156.3643798828125,10927.028625488281,3.2551288617690965e-08,0.0,0.9810625104742752,1.0,,0.7210491034020445
8,base,attribute,enhancement,l0,29989.154907226562,173813.68359375,203802.83850097656,3.8999992520623766e-07,0.9994303584098816,0.1609857978279031,,,
8,base,attribute,enhancement,l1,4750.52880859375,3148.899169921875,7899.427978515625,2.1747755152290438e-08,0.0,0.8984126984126984,,,
8,base,attribute,enhancement,l2,2192.0063552856445,612.5511932373047,2804.557548522949,7.451842698458222e-09,0.0,0.962155388471178,,,
8,base,state,enhancement,l0,31997.30712890625,391410.609375,423407.91650390625,4.908216683086053e-08,0.9968894720077515,,0.3219715956558062,,
8,base,state,enhancement,l1,4200.207015991211,7323.312744140625,11523.519760131836,3.850945451411292e-09,0.0,,0.9656641604010026,,
8,base,state,enhancement,l2,645.0015144348145,1156.4976196289062,1801.4991340637207,2.6527318536251343e-10,0.0,,0.9999164578111946,,
8,base,correctness_base,enhancement,l0,8126.445983886719,22649.4990234375,30775.94500732422,9.221145091942162e-08,1.0,,,0.5847117794486215,
8,base,correctness_base,enhancement,l1,6621.197204589844,460.0223693847656,7081.219573974609,2.096638596071898e-07,0.0,,,0.7157894736842105,
8,base,correctness_base,enhancement,l2,6328.634429931641,36.74289035797119,6365.377320289612,1.7083475256640668e-07,0.0,,,0.7299916457811194,
8,base,multitask_dual,enhancement,l0,90276.32958984375,5305009.5,5395285.829589844,2.9208184579536985e-06,1.0,0.1037593984962406,0.09223057644110276,,
8,base,multitask_dual,enhancement,l1,8217.147338867188,15733.8193359375,23950.966674804688,5.54722987914739e-09,0.0,0.889640768588137,0.95421888053467,,
8,base,multitask_dual,enhancement,l2,1177.2600173950195,3093.5537109375,4270.8137283325195,1.4808297458627588e-09,0.0,0.9851294903926483,1.0,,
8,base,multitask_triple_base,enhancement,l0,97522.17724609375,5308032.0,5405554.177246094,2.2733695585290072e-06,1.0,0.1037593984962406,0.09223057644110276,0.5847117794486215,
8,base,multitask_triple_base,enhancement,l1,15134.377685546875,16024.64794921875,31159.025634765625,5.0888928168624226e-08,0.0,0.8924812030075188,0.9533834586466166,0.6968253968253968,
8,base,multitask_triple_base,enhancement,l2,7633.561004638672,3254.517333984375,10888.078338623047,5.7748833518118936e-08,0.0,0.9824561403508771,1.0,0.7258145363408521,
8,instruct,attribute,enhancement,l0,30132.583984375,173832.71484375,203965.298828125,4.17326856257579e-07,0.999267578125,0.16290726817042606,,,
8,instruct,attribute,enhancement,l1,4729.505310058594,3163.1978759765625,7892.703186035156,2.2489263784564173e-08,0.0,0.8987468671679198,,,
8,instruct,attribute,enhancement,l2,2156.910202026367,616.7515411376953,2773.6617431640625,8.54380011183764e-09,0.0,0.962907268170426,,,
8,instruct,state,enhancement,l0,31638.821533203125,391461.46875,423100.2902832031,4.4660618730985036e-08,0.9968532919883728,,0.3223057644110276,,
8,instruct,state,enhancement,l1,4187.935150146484,7329.6328125,11517.567962646484,4.0261993738965884e-09,0.0,,0.9656641604010026,,
8,instruct,state,enhancement,l2,638.7359580993652,1153.5780944824219,1792.314052581787,2.3646441749125557e-10,0.0,,1.0,,
8,instruct,correctness_instruct,enhancement,l0,6486.537689208984,22049.0771484375,28535.614837646484,1.0108038850376033e-07,1.0,,,,0.7679197994987469
8,instruct,correctness_instruct,enhancement,l1,5627.882659912109,352.0327835083008,5979.91544342041,3.3933985150724766e-06,0.0,,,,0.8010025062656642
8,instruct,correctness_instruct,enhancement,l2,5295.154968261719,32.30951499938965,5327.464483261108,3.856517892586453e-06,0.0,,,,0.810108604845447
8,instruct,multitask_dual,enhancement,l0,91127.1806640625,5304846.75,5395973.9306640625,3.05635561951131e-06,1.0,0.1037593984962406,0.09223057644110276,,
8,instruct,multitask_dual,enhancement,l1,8183.5313720703125,15761.455078125,23944.986450195312,4.417046617355425e-09,0.0,0.8921470342522974,0.9553884711779449,,
8,instruct,multitask_dual,enhancement,l2,1169.9496765136719,3096.9700927734375,4266.919769287109,1.69189744043489e-09,0.0,0.9854636591478697,1.0,,
8,instruct,multitask_triple_instruct,enhancement,l0,94071.3125,5308314.375,5402385.6875,2.451359832036617e-06,1.0,0.1037593984962406,0.09223057644110276,,0.7679197994987469
8,instruct,multitask_triple_instruct,enhancement,l1,13688.936584472656,16124.54736328125,29813.483947753906,4.5360321568321815e-08,0.0,0.8944026733500418,0.9565580618212197,,0.7880534670008355
8,instruct,multitask_triple_instruct,enhancement,l2,6138.757995605469,3280.320556640625,9419.078552246094,3.66787740848154e-08,0.0,0.9902255639097745,1.0,,0.8091060985797828
16,base,attribute,all,l0,55807.529541015625,163305.9462890625,219113.47583007812,3.4212135317327846e-07,0.9979655146598816,0.4893801085854066,,,
16,base,attribute,all,l1,23874.40966796875,10837.34683227539,34711.75650024414,2.9021391512173977e-08,0.0,0.8012648409999403,,,
16,base,attribute,all,l2,13013.427764892578,3351.331123352051,16364.758888244629,1.8422363634584826e-08,0.0,0.8912654376230535,,,
16,base_control,attribute,all,l0,82953.9423828125,129930.13623046875,212884.07861328125,1.7635493065881747e-08,1.0,0.16744227671379988,,,
16,base_control,attribute,all,l1,83563.23657226562,3022.2191162109375,86585.45568847656,8.64336922035136e-08,0.0,0.1670246405345743,,,
16,base_control,attribute,all,l2,76859.38244628906,2352.0785751342773,79211.46102142334,9.134860867732186e-08,0.0,0.23193723524849352,,,
16,base,state,all,l0,55116.69543457031,371788.828125,426905.5235595703,2.3312802336731647e-08,0.9890589118003845,,0.565091581647873,,
16,base,state,all,l1,35279.20166015625,31160.622619628906,66439.82427978516,1.3701656254028194e-08,0.0,,0.7827396933357198,,
16,base,state,all,l2,8617.743209838867,8802.638214111328,17420.381423950195,2.746590843649699e-09,0.0,,0.9744048684446035,,
16,base_control,state,all,l0,114752.72875976562,289464.3662109375,404217.0949707031,9.063373459146836e-09,1.0,,0.08618220869876499,,
16,base_control,state,all,l1,114864.21142578125,4940.243911743164,119804.45533752441,3.1553344825852037e-08,0.0,,0.08615237754310602,,
16,base_control,state,all,l2,99573.38134765625,5075.936370849609,104649.31771850586,3.0866584843636247e-08,0.0,,0.18543046357615894,,
16,base,correctness_base,all,l0,21413.176513671875,18944.630493164062,40357.80700683594,7.193978509197525e-08,1.0,,,0.6635045641668158,
16,base,correctness_base,all,l1,19793.306030273438,869.0805244445801,20662.386554718018,1.936218581022331e-07,0.0,,,0.6796432193783187,
16,base,correctness_base,all,l2,18724.075103759766,172.41741228103638,18896.492516040802,2.289814773348553e-07,0.0,,,0.7057753117355766,
16,base,multitask_dual,all,l0,221888.91748046875,4101214.4765625,4323103.394042969,1.2813142330639745e-06,1.0,0.10032217648111688,0.08618220869876499,,
16,base,multitask_dual,all,l1,49018.836181640625,59336.94470214844,108355.78088378906,7.73143671306542e-09,0.0,0.8041286319432015,0.8075592148439831,,
16,base,multitask_dual,all,l2,20560.584411621094,18297.299560546875,38857.88397216797,1.077541748421377e-08,0.0,0.8712189010202255,0.9724658433267704,,
16,base,multitask_triple_base,all,l0,244380.38232421875,4104500.8125,4348881.194824219,1.1057614950102688e-06,1.0,0.10032217648111688,0.08618220869876499,0.6635045641668158,
16,base,multitask_triple_base,all,l1,69182.96520996094,60632.3115234375,129815.27673339844,3.209566892814486e-08,0.0,0.8052920470139013,0.8087524610703418,0.6758844937652885,
16,base,multitask_triple_base,all,l2,38383.827392578125,18618.48760986328,57002.315002441406,4.46901984307857e-08,0.0,0.8855080245808723,0.9745540242228984,0.695453731877573,
16,instruct,attribute,all,l0,53214.65881347656,163163.26318359375,216377.9219970703,2.7509031711817994e-07,0.9979248046875,0.5190919396217409,,,
16,instruct,attribute,all,l1,23910.399658203125,10747.023834228516,34657.42349243164,3.286438499117139e-08,0.0,0.8035320088300221,,,
16,instruct,attribute,all,l2,13039.624267578125,3361.7710189819336,16401.39528656006,1.856541009814805e-08,0.0,0.8921305411371636,,,
16,instruct_control,attribute,all,l0,82953.88598632812,129967.83325195312,212921.71923828125,1.646710974985884e-08,1.0,0.16744227671379988,,,
16,instruct_control,attribute,all,l1,83518.06970214844,2967.0613403320312,86485.13104248047,8.802339657165703e-08,0.0,0.16684565360062048,,,
16,instruct_control,attribute,all,l2,76745.1357421875,2351.0417861938477,79096.17752838135,8.86180338000031e-08,0.0,0.23131078097965516,,,
16,instruct,state,all,l0,54761.03430175781,372051.990234375,426813.0245361328,2.354338661062864e-08,0.9892759323120117,,0.5686713203269494,,
16,instruct,state,all,l1,35242.33221435547,31119.56396484375,66361.89617919922,1.3821462641061544e-08,0.0,,0.7852753415667323,,
16,instruct,state,all,l2,8555.826110839844,8763.896850585938,17319.72296142578,3.000937387476199e-09,0.0,,0.974852335779488,,
16,instruct_control,state,all,l0,114752.69140625,289532.267578125,404284.958984375,8.551721109029131e-09,1.0,,0.08618220869876499,,
16,instruct_control,state,all,l1,114822.03979492188,4951.34797668457,119773.38777160645,3.1926037813434505e-08,0.0,,0.0862717021657419,,
16,instruct_control,state,all,l2,99424.80859375,5110.568344116211,104535.37693786621,3.1469677530537865e-08,0.0,,0.1857884374440666,,
16,instruct,correctness_instruct,all,l0,21936.57113647461,18808.370544433594,40744.9416809082,1.0308513272624016e-07,1.0,,,,0.638356899946304
16,instruct,correctness_instruct,all,l1,20450.930450439453,843.6983299255371,21294.62878036499,2.395333495996965e-07,0.0,,,,0.6605512797565778
16,instruct,correctness_instruct,all,l2,19429.456146240234,155.6647925376892,19585.120938777924,1.9392781069882403e-07,0.0,,,,0.6867430344251536
16,instruct,multitask_dual,all,l0,222885.09814453125,4101076.546875,4323961.645019531,1.3824708719388314e-06,1.0,0.10032217648111688,0.0318596742437802,,
16,instruct,multitask_dual,all,l1,48935.877197265625,60616.73400878906,109552.61120605469,7.071642142234917e-09,0.0,0.8058886701270808,0.8138237575323668,,
16,instruct,multitask_dual,all,l2,19600.43048095703,18281.240661621094,37881.671142578125,6.518836877707675e-09,0.0,0.8850903884016467,0.9734801026191755,,
16,instruct,multitask_triple_instruct,all,l0,244937.00341796875,4103979.515625,4348916.519042969,1.0894946441809673e-06,1.0,0.10032217648111688,0.0318596742437802,,0.638356899946304
16,instruct,multitask_triple_instruct,all,l1,70216.236328125,59950.002685546875,130166.23901367188,4.146574837660122e-08,0.0,0.8031740349621145,0.8059483324383987,,0.6538989320446275
16,instruct,multitask_triple_instruct,all,l2,39344.00653076172,18595.981384277344,57939.98791503906,4.312375924409029e-08,0.0,0.8829425451942008,0.972943141817314,,0.6813435952508801
16,base,attribute,suppression,l0,29242.640869140625,174137.5546875,203380.19555664062,4.834911148480595e-07,0.9991455078125,0.17898441427853193,,,
16,base,attribute,suppression,l1,4539.341934204102,3039.4183959960938,7578.760330200195,2.3075905186686896e-08,0.0,0.9024635495223731,,,
16,base,attribute,suppression,l2,2161.4356994628906,575.3868255615234,2736.822525024414,9.132445022430602e-09,0.0,0.9620412267471091,,,
16,base,state,suppression,l0,28089.244750976562,391811.953125,419901.19787597656,6.199443904527276e-08,0.9943576455116272,,0.39793866264454497,,
16,base,state,suppression,l1,5106.933746337891,7705.453857421875,12812.387603759766,4.948512710711839e-09,0.0,,0.9485503603150662,,
16,base,state,suppression,l2,974.4617042541504,1446.4351501464844,2420.8968544006348,4.776880418999596e-10,0.0,,0.9998324115971174,,
16,base,correctness_base,suppression,l0,5983.334777832031,21719.0068359375,27702.34161376953,7.109123127217269e-08,1.0,,,0.799396681749623,
16,base,correctness_base,suppression,l1,5516.730377197266,274.3667449951172,5791.097122192383,4.850513278142898e-06,0.0,,,0.8072733366851014,
16,base,correctness_base,suppression,l2,5267.77978515625,26.69080352783203,5294.470588684082,6.163454258967249e-06,0.0,,,0.8174124350594939,
16,base,multitask_dual,suppression,l0,92722.34130859375,5306286.0,5399008.341308594,4.4836287391396875e-06,1.0,0.09904474610356963,0.049773755656108594,,
16,base,multitask_dual,suppression,l1,8816.455078125,16276.32568359375,25092.78076171875,5.71154094390162e-09,0.0,0.8910675381263616,0.9396681749622926,,
16,base,multitask_dual,suppression,l2,1506.7787780761719,3340.767333984375,4847.546112060547,2.4965356078728482e-09,0.0,0.9751131221719457,1.0,,
16,base,multitask_triple_base,suppression,l0,95537.04638671875,5309235.0,5404772.046386719,3.2710924304050573e-06,1.0,0.09904474610356963,0.049773755656108594,0.799396681749623,
16,base,multitask_triple_base,suppression,l1,14107.674743652344,16948.10888671875,31055.783630371094,2.4847391214000147e-08,0.0,0.8903133903133903,0.93883023294788,0.8056812468577175,
16,base,multitask_triple_base,suppression,l2,6023.9857177734375,3519.18017578125,9543.165893554688,6.328609131883711e-08,0.0,0.9906150494385788,1.0,0.8177476118652589,
16,instruct,attribute,suppression,l0,29156.96044921875,174186.9375,203343.89794921875,4.6063517785318214e-07,0.9991048574447632,0.17161052455170103,,,
16,instruct,attribute,suppression,l1,4508.523895263672,3044.5576171875,7553.081512451172,2.2091964702042333e-08,0.0,0.9022959611194905,,,
16,instruct,attribute,suppression,l2,2104.6646270751953,580.1726531982422,2684.8372802734375,8.631791059698912e-09,0.0,0.9624601977543153,,,
16,instruct,state,suppression,l0,28217.3408203125,391839.9609375,420057.3017578125,6.25004949461605e-08,0.9944300055503845,,0.3960951902128373,,
16,instruct,state,suppression,l1,5059.215423583984,7707.702392578125,12766.91781616211,5.247096757088343e-09,0.0,,0.9508128037539803,,
16,instruct,state,suppression,l2,953.8396835327148,1436.0331115722656,2389.8727951049805,4.421539384624751e-10,0.0,,0.9997486173956762,,
16,instruct,correctness_instruct,suppression,l0,7897.314056396484,22234.564453125,30131.878509521484,1.5294773447749321e-07,1.0,,,,0.6251885369532428
16,instruct,correctness_instruct,suppression,l1,6671.80908203125,376.98646545410156,7048.795547485352,1.5760157623390114e-07,0.0,,,,0.7164404223227753
16,instruct,correctness_instruct,suppression,l2,6423.911163330078,32.15805530548096,6456.069218635559,1.9630684278126864e-07,0.0,,,,0.7326127032009385
16,instruct,multitask_dual,suppression,l0,92822.623046875,5306125.5,5398948.123046875,4.513642937504463e-06,1.0,0.09904474610356963,0.049773755656108594,,
16,instruct,multitask_dual,suppression,l1,8749.636474609375,16276.95263671875,25026.589111328125,6.7592770454834765e-09,0.0,0.889559242500419,0.942349589408413,,
16,instruct,multitask_dual,suppression,l2,1230.0931243896484,3299.7520751953125,4529.845199584961,1.4792511972283595e-09,0.0,0.985168426344897,1.0,,
16,instruct,multitask_triple_instruct,suppression,l0,98672.5703125,5308596.0,5407268.5703125,3.365106685057937e-06,1.0,0.09904474610356963,0.049773755656108594,,0.6251885369532428
16,instruct,multitask_triple_instruct,suppression,l1,15668.933715820312,16743.93603515625,32412.869750976562,3.382814441066362e-08,0.0,0.8943355119825708,0.9411764705882353,,0.6914697502932797
16,instruct,multitask_triple_instruct,suppression,l2,7671.097625732422,3448.7625732421875,11119.86019897461,4.9419694846813966e-08,0.0,0.9887715770068711,1.0,,0.7294285235461706
16,base,attribute,enhancement,l0,30370.71923828125,174069.6328125,204440.35205078125,4.3649783390553587e-07,0.9993896484375,0.13826232247284878,,,
16,base,attribute,enhancement,l1,4898.918914794922,3089.3265380859375,7988.245452880859,2.392297204778515e-08,0.0,0.8931495405179616,,,
16,base,attribute,enhancement,l2,2375.047004699707,600.967529296875,2976.014533996582,9.846729653872899e-09,0.0,0.9557226399331662,,,
16,base,state,enhancement,l0,27585.099731445312,392360.0390625,419945.1387939453,6.609275734111482e-08,0.9938331842422485,,0.40977443609022557,,
16,base,state,enhancement,l1,5293.751403808594,7691.113037109375,12984.864440917969,5.174535022689497e-09,0.0,,0.9445279866332498,,
16,base,state,enhancement,l2,1035.608943939209,1474.6923522949219,2510.301296234131,5.360594468317714e-10,0.0,,0.9998329156223893,,
16,base,correctness_base,enhancement,l0,8126.250915527344,22463.89599609375,30590.146911621094,8.895070398769651e-08,1.0,,,0.5847117794486215,
16,base,correctness_base,enhancement,l1,6740.101654052734,421.65142822265625,7161.753082275391,1.9258310857139804e-07,0.0,,,0.7083542188805346,
16,base,correctness_base,enhancement,l2,6459.8192138671875,33.71878623962402,6493.5380001068115,1.8502878873505324e-07,0.0,,,0.7213032581453634,
16,base,multitask_dual,enhancement,l0,91933.6904296875,5307102.75,5399036.4404296875,3.0227660893698627e-06,1.0,0.1037593984962406,0.09223057644110276,,
16,base,multitask_dual,enhancement,l1,9332.177307128906,16410.65478515625,25742.832092285156,4.28973201405114e-09,0.0,0.885296574770259,0.9314954051796157,,
16,base,multitask_dual,enhancement,l2,1448.372055053711,3459.0823974609375,4907.454452514648,2.1075274893311846e-09,0.0,0.9819548872180451,1.0,,
16,base,multitask_triple_base,enhancement,l0,98341.38232421875,5309908.5,5408249.882324219,2.3932786076880716e-06,1.0,0.1037593984962406,0.09223057644110276,0.5847117794486215,
16,base,multitask_triple_base,enhancement,l1,16343.533264160156,16723.58349609375,33067.116760253906,4.232316583308027e-08,0.0,0.8885547201336675,0.9328320802005012,0.6848788638262322,
16,base,multitask_triple_base,enhancement,l2,8037.314147949219,3620.9930419921875,11658.307189941406,5.789723215351289e-08,0.0,0.9854636591478697,1.0,0.7123642439431913,
16,instruct,attribute,enhancement,l0,30018.029541015625,174132.328125,204150.35766601562,4.2050331860998824e-07,0.9993489980697632,0.14085213032581453,,,
