model,layer,cluster_id,size,suppression_count,enhancement_count,control_count,suppression_pct,enhancement_pct,control_pct,base_accuracy,instruct_accuracy,top_states,top_attributes
base,24,0,86,9,47,30,10.465116279069768,54.65116279069767,34.883720930232556,0.45348837209302323,0.5930232558139535,"{'Telangana': 54, 'Jharkhand': 23, 'Delhi': 9}","{'Personalities': 53, 'Sports': 33}"
base,24,1,58,7,24,27,12.068965517241379,41.37931034482759,46.55172413793103,0.8448275862068966,0.7931034482758621,"{'Punjab': 54, 'Haryana': 3, 'Himachal_Pradesh': 1}","{'Cultural_Common_Sense': 33, 'History': 21, 'Cuisine': 3}"
base,24,2,115,36,76,3,31.30434782608696,66.08695652173913,2.608695652173913,0.6260869565217392,0.4956521739130435,"{'Manipur': 69, 'Jharkhand': 43, 'Odisha': 3}","{'Personalities': 88, 'Sports': 27}"
base,24,3,207,15,72,120,7.246376811594203,34.78260869565217,57.971014492753625,0.6666666666666666,0.6956521739130435,"{'Sikkim': 105, 'Telangana': 81, 'Delhi': 9}","{'Sports': 114, 'Cultural_Common_Sense': 81, 'Tourism': 9}"
base,24,4,67,18,28,21,26.865671641791046,41.7910447761194,31.343283582089555,0.5970149253731343,0.417910447761194,"{'Manipur': 36, 'Rajasthan': 16, 'Delhi': 15}","{'Tourism': 36, 'Cultural_Common_Sense': 16, 'Personalities': 15}"
base,24,5,103,10,33,60,9.70873786407767,32.038834951456316,58.252427184466015,0.912621359223301,0.8446601941747572,"{'Meghalaya': 33, 'Tripura': 27, 'Sikkim': 24}","{'Cultural_Common_Sense': 102, 'History': 1}"
base,24,6,107,13,24,70,12.149532710280374,22.429906542056074,65.42056074766354,0.7850467289719626,0.8037383177570093,"{'Telangana': 69, 'Tamil_Nadu': 22, 'Himachal_Pradesh': 12}","{'Cultural_Common_Sense': 67, 'Art': 22, 'History': 16}"
base,24,7,53,10,12,31,18.867924528301888,22.641509433962266,58.490566037735846,0.6981132075471698,0.7735849056603774,"{'Telangana': 35, 'Manipur': 14, 'Nagaland': 2}","{'Cultural_Common_Sense': 47, 'Tourism': 3, 'History': 2}"
base,24,8,139,28,111,0,20.14388489208633,79.85611510791367,0.0,0.6187050359712231,0.7410071942446043,"{'Delhi': 73, 'Himachal_Pradesh': 42, 'Kerala': 24}","{'Rituals_and_Ceremonies': 48, 'Dance_and_Music': 42, 'Cultural_Common_Sense': 24}"
base,24,9,121,50,36,35,41.32231404958678,29.75206611570248,28.92561983471074,0.8016528925619835,0.6694214876033058,"{'Manipur': 64, 'Punjab': 18, 'Kerala': 12}","{'Art': 53, 'Tourism': 31, 'Cultural_Common_Sense': 13}"
base,24,10,92,41,51,0,44.565217391304344,55.434782608695656,0.0,0.532608695652174,0.6739130434782609,"{'Ladakh': 51, 'Puducherry': 21, 'Himachal_Pradesh': 20}","{'Cultural_Common_Sense': 41, 'Personalities': 33, 'Tourism': 18}"
base,24,11,228,34,116,78,14.912280701754385,50.877192982456144,34.21052631578947,0.40789473684210525,0.5394736842105263,"{'Telangana': 114, 'Delhi': 111, 'Tamil_Nadu': 2}","{'Personalities': 180, 'Cultural_Common_Sense': 36, 'History': 12}"
base,24,12,52,21,16,15,40.38461538461539,30.76923076923077,28.846153846153843,0.8653846153846154,0.7692307692307693,"{'Uttar_Pradesh': 27, 'Punjab': 24, 'Delhi': 1}","{'Personalities': 27, 'History': 24, 'Tourism': 1}"
base,24,13,53,10,11,32,18.867924528301888,20.754716981132077,60.37735849056604,0.7547169811320755,0.7924528301886793,"{'Manipur': 28, 'West_Bengal': 23, 'Rajasthan': 2}","{'Cultural_Common_Sense': 22, 'History': 20, 'Tourism': 9}"
base,24,14,165,34,31,100,20.606060606060606,18.787878787878785,60.60606060606061,0.806060606060606,0.7575757575757576,"{'Manipur': 38, 'Nagaland': 33, 'Tamil_Nadu': 33}","{'Sports': 102, 'Cultural_Common_Sense': 33, 'Tourism': 11}"
base,24,15,214,61,87,66,28.504672897196258,40.654205607476634,30.8411214953271,0.677570093457944,0.6355140186915887,"{'Delhi': 84, 'Sikkim': 49, 'Puducherry': 40}","{'Cultural_Common_Sense': 71, 'Medicine': 60, 'Personalities': 41}"
base,24,16,81,31,37,13,38.2716049382716,45.67901234567901,16.049382716049383,0.5061728395061729,0.5185185185185185,"{'Andaman_and_Nicobar': 29, 'Odisha': 16, 'Karnataka': 12}","{'Art': 23, 'Rituals_and_Ceremonies': 19, 'Festivals': 16}"
base,24,17,115,61,45,9,53.04347826086957,39.130434782608695,7.82608695652174,0.8,0.7652173913043478,"{'Assam': 75, 'Sikkim': 33, 'Kerala': 5}","{'Cuisine': 65, 'Tourism': 42, 'History': 6}"
base,24,18,52,13,36,3,25.0,69.23076923076923,5.769230769230769,0.6730769230769231,0.5576923076923077,"{'Himachal_Pradesh': 29, 'Uttarakhand': 11, 'Kerala': 6}","{'Cultural_Common_Sense': 36, 'Tourism': 10, 'History': 6}"
base,24,19,58,27,14,17,46.55172413793103,24.137931034482758,29.310344827586203,0.6896551724137931,0.7586206896551724,"{'Tamil_Nadu': 42, 'Puducherry': 11, 'Andhra_Pradesh': 5}","{'Cultural_Common_Sense': 36, 'Cuisine': 17, 'Art': 5}"
base,24,20,65,28,30,7,43.07692307692308,46.15384615384615,10.76923076923077,0.46153846153846156,0.4153846153846154,"{'Nagaland': 29, 'Goa': 14, 'Arunachal_Pradesh': 12}","{'Cuisine': 64, 'Rituals_and_Ceremonies': 1}"
base,24,21,138,43,49,46,31.15942028985507,35.507246376811594,33.33333333333333,0.717391304347826,0.5942028985507246,"{'Tripura': 62, 'Haryana': 29, 'Mizoram': 25}","{'Cultural_Common_Sense': 121, 'Tourism': 9, 'History': 8}"
base,24,22,190,35,137,18,18.421052631578945,72.10526315789474,9.473684210526317,0.6736842105263158,0.6947368421052632,"{'Jharkhand': 140, 'Sikkim': 26, 'Himachal_Pradesh': 22}","{'Transport': 162, 'Cultural_Common_Sense': 26, 'Tourism': 1}"
base,24,23,51,3,15,33,5.88235294117647,29.411764705882355,64.70588235294117,0.8823529411764706,0.9411764705882353,"{'Tripura': 33, 'Delhi': 18}",{'Festivals': 51}
base,24,24,1026,299,468,259,29.142300194931774,45.614035087719294,25.243664717348928,0.6237816764132553,0.6276803118908382,"{'Uttarakhand': 123, 'Jharkhand': 94, 'Tamil_Nadu': 84}","{'Cuisine': 982, 'Cultural_Common_Sense': 12, 'Rituals_and_Ceremonies': 10}"
base,24,25,83,51,32,0,61.44578313253012,38.55421686746988,0.0,0.6385542168674698,0.43373493975903615,"{'Jharkhand': 73, 'Himachal_Pradesh': 4, 'Chhattisgarh': 2}","{'Cuisine': 79, 'Medicine': 4}"
base,24,26,75,27,21,27,36.0,28.000000000000004,36.0,0.6666666666666666,0.72,"{'Sikkim': 48, 'Arunachal_Pradesh': 18, 'Himachal_Pradesh': 7}","{'Tourism': 36, 'Religion': 16, 'History': 6}"
base,24,27,139,51,44,44,36.69064748201439,31.654676258992804,31.654676258992804,0.6906474820143885,0.6762589928057554,"{'Sikkim': 80, 'Arunachal_Pradesh': 35, 'Himachal_Pradesh': 16}","{'Tourism': 62, 'Religion': 29, 'History': 13}"
base,24,28,187,52,47,88,27.807486631016044,25.13368983957219,47.05882352941176,0.8983957219251337,0.786096256684492,"{'Uttarakhand': 138, 'Tripura': 21, 'Uttar_Pradesh': 16}","{'History': 90, 'Tourism': 41, 'Cultural_Common_Sense': 26}"
base,24,29,114,52,18,44,45.614035087719294,15.789473684210526,38.59649122807017,0.7807017543859649,0.6052631578947368,"{'Manipur': 42, 'Gujarat': 19, 'Uttar_Pradesh': 11}","{'History': 77, 'Tourism': 37}"
base,24,30,61,15,8,38,24.59016393442623,13.114754098360656,62.295081967213115,0.7540983606557377,0.7868852459016393,"{'Manipur': 45, 'Nagaland': 16}","{'History': 49, 'Tourism': 12}"
base,24,31,63,55,7,1,87.3015873015873,11.11111111111111,1.5873015873015872,0.5079365079365079,0.25396825396825395,"{'Jharkhand': 61, 'Uttarakhand': 1, 'Telangana': 1}","{'History': 56, 'Cultural_Common_Sense': 6, 'Personalities': 1}"
base,24,32,67,60,7,0,89.55223880597015,10.44776119402985,0.0,0.5373134328358209,0.40298507462686567,{'Ladakh': 67},{'Personalities': 67}
base,24,33,1874,824,589,461,43.970117395944506,31.43009605122732,24.599786552828178,0.7001067235859125,0.6787620064034151,"{'Andhra_Pradesh': 203, 'Tamil_Nadu': 154, 'West_Bengal': 131}","{'Costume': 1317, 'Art': 452, 'Cultural_Common_Sense': 50}"
base,24,34,195,32,56,107,16.41025641025641,28.717948717948715,54.871794871794876,0.7487179487179487,0.7384615384615385,"{'Maharashtra': 59, 'Uttar_Pradesh': 42, 'Punjab': 40}","{'Personalities': 124, 'History': 51, 'Cultural_Common_Sense': 20}"
