model,layer,cluster_id,size,suppression_count,enhancement_count,control_count,suppression_pct,enhancement_pct,control_pct,base_accuracy,instruct_accuracy,top_states,top_attributes
instruct,28,0,87,10,47,30,11.494252873563218,54.02298850574713,34.48275862068966,0.45977011494252873,0.5862068965517241,"{'Telangana': 55, 'Jharkhand': 23, 'Delhi': 9}","{'Personalities': 53, 'Sports': 33, 'Cultural_Common_Sense': 1}"
instruct,28,1,73,39,9,25,53.42465753424658,12.32876712328767,34.24657534246575,0.8493150684931506,0.5616438356164384,"{'Manipur': 38, 'Punjab': 20, 'Kerala': 12}","{'Art': 55, 'Sports': 6, 'History': 3}"
instruct,28,2,186,22,65,99,11.827956989247312,34.946236559139784,53.2258064516129,0.7258064516129032,0.7688172043010753,"{'Himachal_Pradesh': 44, 'Manipur': 36, 'Rajasthan': 33}","{'Sports': 102, 'Dance_and_Music': 44, 'Tourism': 33}"
instruct,28,3,52,3,16,33,5.769230769230769,30.76923076923077,63.46153846153846,0.8653846153846154,0.9423076923076923,"{'Tripura': 33, 'Delhi': 18, 'Sikkim': 1}","{'Festivals': 51, 'Cultural_Common_Sense': 1}"
instruct,28,4,230,57,113,60,24.782608695652176,49.130434782608695,26.08695652173913,0.6565217391304348,0.6434782608695652,"{'Delhi': 97, 'Punjab': 78, 'Uttar_Pradesh': 32}","{'Personalities': 163, 'Art': 41, 'Language': 24}"
instruct,28,5,87,42,36,9,48.275862068965516,41.37931034482759,10.344827586206897,0.7471264367816092,0.5517241379310345,"{'Tamil_Nadu': 33, 'Andaman_and_Nicobar': 29, 'Puducherry': 18}","{'Cultural_Common_Sense': 58, 'Art': 23, 'Rituals_and_Ceremonies': 6}"
instruct,28,6,68,7,22,39,10.294117647058822,32.35294117647059,57.35294117647059,0.9117647058823529,0.8529411764705882,"{'Meghalaya': 22, 'Tripura': 18, 'Sikkim': 16}","{'Cultural_Common_Sense': 67, 'History': 1}"
instruct,28,7,67,60,7,0,89.55223880597015,10.44776119402985,0.0,0.5373134328358209,0.22388059701492538,"{'Jharkhand': 62, 'Arunachal_Pradesh': 4, 'Chhattisgarh': 1}","{'History': 60, 'Cultural_Common_Sense': 7}"
instruct,28,8,58,7,24,27,12.068965517241379,41.37931034482759,46.55172413793103,0.8448275862068966,0.7931034482758621,"{'Punjab': 54, 'Haryana': 3, 'Himachal_Pradesh': 1}","{'Cultural_Common_Sense': 33, 'History': 21, 'Cuisine': 3}"
instruct,28,9,70,30,30,10,42.857142857142854,42.857142857142854,14.285714285714285,0.8285714285714286,0.7857142857142857,"{'Punjab': 24, 'Kerala': 24, 'Puducherry': 21}","{'Cultural_Common_Sense': 45, 'History': 24, 'Tourism': 1}"
instruct,28,10,114,36,75,3,31.57894736842105,65.78947368421053,2.631578947368421,0.631578947368421,0.5,"{'Manipur': 69, 'Jharkhand': 42, 'Odisha': 3}","{'Personalities': 87, 'Sports': 27}"
instruct,28,11,67,32,29,6,47.76119402985074,43.28358208955223,8.955223880597014,0.5074626865671642,0.4925373134328358,"{'Manipur': 30, 'Karnataka': 23, 'Telangana': 12}","{'Personalities': 44, 'Cultural_Common_Sense': 15, 'Language': 8}"
instruct,28,12,232,35,118,79,15.086206896551724,50.86206896551724,34.05172413793103,0.40948275862068967,0.5431034482758621,"{'Telangana': 115, 'Delhi': 111, 'Tamil_Nadu': 3}","{'Personalities': 182, 'Cultural_Common_Sense': 37, 'History': 12}"
instruct,28,13,65,21,29,15,32.30769230769231,44.61538461538462,23.076923076923077,0.5384615384615384,0.6307692307692307,"{'Puducherry': 35, 'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 24, 'Delhi': 6}","{'Medicine': 59, 'History': 6}"
instruct,28,14,88,2,17,69,2.272727272727273,19.318181818181817,78.4090909090909,0.7954545454545454,0.7954545454545454,"{'Sikkim': 47, 'West_Bengal': 36, 'Puducherry': 2}","{'Cultural_Common_Sense': 48, 'History': 36, 'Tourism': 3}"
instruct,28,15,70,3,67,0,4.285714285714286,95.71428571428572,0.0,0.5857142857142857,0.7571428571428571,"{'Delhi': 69, 'Karnataka': 1}","{'Rituals_and_Ceremonies': 48, 'Festivals': 22}"
instruct,28,16,72,2,40,30,2.7777777777777777,55.55555555555556,41.66666666666667,0.4444444444444444,0.5555555555555556,"{'Sikkim': 71, 'Gujarat': 1}","{'Sports': 71, 'Dance_and_Music': 1}"
instruct,28,17,111,8,27,76,7.207207207207207,24.324324324324326,68.46846846846847,0.7747747747747747,0.7567567567567568,"{'Telangana': 69, 'Sikkim': 30, 'Karnataka': 6}","{'Cultural_Common_Sense': 69, 'Sports': 35, 'Tourism': 6}"
instruct,28,18,86,11,21,54,12.790697674418606,24.418604651162788,62.7906976744186,0.8255813953488372,0.7790697674418605,"{'Puducherry': 36, 'Tamil_Nadu': 36, 'Uttarakhand': 3}","{'Medicine': 71, 'History': 6, 'Cultural_Common_Sense': 3}"
