model,layer,cluster_id,size,suppression_count,enhancement_count,control_count,suppression_pct,enhancement_pct,control_pct,base_accuracy,instruct_accuracy,top_states,top_attributes
instruct,18,103,835,342,295,198,40.958083832335326,35.32934131736527,23.7125748502994,0.6467065868263473,0.6071856287425149,"{'Punjab': 68, 'Uttarakhand': 65, 'Karnataka': 64}","{'Dance_and_Music': 650, 'Rituals_and_Ceremonies': 51, 'Art': 38}"
instruct,18,104,130,52,53,25,40.0,40.76923076923077,19.230769230769234,0.5307692307692308,0.6615384615384615,"{'West_Bengal': 25, 'Andhra_Pradesh': 13, 'Manipur': 13}","{'Rituals_and_Ceremonies': 77, 'Cuisine': 26, 'Festivals': 20}"
instruct,18,105,68,18,43,7,26.47058823529412,63.23529411764706,10.294117647058822,0.7058823529411765,0.75,"{'Sikkim': 18, 'Tripura': 15, 'Manipur': 9}","{'Cultural_Common_Sense': 34, 'History': 20, 'Language': 9}"
instruct,18,106,123,52,48,23,42.27642276422765,39.02439024390244,18.69918699186992,0.6422764227642277,0.5691056910569106,"{'Tripura': 47, 'Andaman_and_Nicobar': 27, 'Jharkhand': 24}","{'Cultural_Common_Sense': 97, 'History': 22, 'Personalities': 2}"
instruct,18,107,219,106,74,39,48.401826484018265,33.789954337899545,17.80821917808219,0.7351598173515982,0.7168949771689498,"{'Arunachal_Pradesh': 60, 'Uttarakhand': 29, 'Odisha': 19}","{'Language': 215, 'History': 1, 'Tourism': 1}"
instruct,18,108,67,18,40,9,26.865671641791046,59.70149253731343,13.432835820895523,0.5970149253731343,0.7164179104477612,"{'Tripura': 14, 'Jammu_kashmir': 12, 'Nagaland': 11}","{'Cultural_Common_Sense': 49, 'History': 7, 'Rituals_and_Ceremonies': 5}"
instruct,18,109,181,55,108,18,30.386740331491712,59.66850828729282,9.94475138121547,0.6519337016574586,0.712707182320442,"{'Sikkim': 30, 'Arunachal_Pradesh': 26, 'Tripura': 23}","{'Cultural_Common_Sense': 104, 'History': 40, 'Rituals_and_Ceremonies': 21}"
instruct,18,110,163,56,95,12,34.355828220858896,58.282208588957054,7.361963190184049,0.5950920245398773,0.588957055214724,"{'Himachal_Pradesh': 37, 'Nagaland': 28, 'Gujarat': 25}","{'Festivals': 97, 'Rituals_and_Ceremonies': 44, 'Cultural_Common_Sense': 15}"
instruct,18,111,1163,356,483,324,30.61049011177988,41.53052450558899,27.858985382631126,0.6405846947549441,0.6027515047291487,"{'Himachal_Pradesh': 130, 'West_Bengal': 84, 'Nagaland': 73}","{'Festivals': 751, 'Rituals_and_Ceremonies': 214, 'Cultural_Common_Sense': 80}"
instruct,18,112,100,40,25,35,40.0,25.0,35.0,0.7,0.64,"{'Jammu_kashmir': 23, 'Punjab': 21, 'Uttar_Pradesh': 18}","{'Personalities': 29, 'Cultural_Common_Sense': 25, 'Religion': 18}"
