cluster_id,size,suppression_pct,enhancement_pct,control_pct,top_states,top_attributes,base_accuracy,instruct_accuracy
0,72,8.333333333333332,12.5,79.16666666666666,"{'Manipur': 39, 'Uttar_Pradesh': 33}","{'Cuisine': 33, 'Language': 33, 'History': 6}",0.625,0.6666666666666666
1,54,33.33333333333333,22.22222222222222,44.44444444444444,"{'Rajasthan': 30, 'Mizoram': 24}","{'Art': 27, 'Tourism': 24, 'Dance_and_Music': 3}",0.6666666666666666,0.5555555555555556
2,63,33.33333333333333,9.523809523809524,57.14285714285714,{'Telangana': 63},{'Art': 63},0.8571428571428571,0.6666666666666666
3,51,52.94117647058824,47.05882352941176,0.0,"{'Himachal_Pradesh': 30, 'Karnataka': 21}","{'Festivals': 30, 'Cultural_Common_Sense': 18, 'Rituals_and_Ceremonies': 3}",0.8823529411764706,0.5294117647058824
4,65,44.61538461538462,55.38461538461539,0.0,"{'Jammu_kashmir': 36, 'Chandigarh': 15, 'Haryana': 14}","{'Cultural_Common_Sense': 36, 'Art': 15, 'Personalities': 14}",0.46153846153846156,0.6
5,60,45.0,30.0,25.0,"{'Mizoram': 36, 'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 24}","{'Dance_and_Music': 36, 'Medicine': 24}",0.5,0.35
6,54,11.11111111111111,38.88888888888889,50.0,{'Punjab': 54},"{'Cultural_Common_Sense': 33, 'History': 21}",0.8333333333333334,0.7777777777777778
7,73,57.534246575342465,12.32876712328767,30.136986301369863,"{'Uttar_Pradesh': 36, 'Manipur': 34, 'Rajasthan': 3}","{'Dance_and_Music': 69, 'Art': 3, 'Tourism': 1}",0.7397260273972602,0.863013698630137
8,53,16.9811320754717,5.660377358490567,77.35849056603774,"{'Nagaland': 33, 'Manipur': 20}","{'Sports': 33, 'Festivals': 20}",0.5660377358490566,0.6226415094339622
9,87,10.344827586206897,34.48275862068966,55.172413793103445,"{'Tripura': 33, 'Delhi': 18, 'Madhya_Pradesh': 18}","{'Festivals': 69, 'Cultural_Common_Sense': 18}",0.7241379310344828,0.7931034482758621
10,144,22.916666666666664,41.66666666666667,35.41666666666667,"{'Telangana': 51, 'Sikkim': 36, 'Himachal_Pradesh': 24}","{'Cultural_Common_Sense': 60, 'Sports': 36, 'Personalities': 30}",0.75,0.5625
11,66,22.727272727272727,36.36363636363637,40.909090909090914,"{'Maharashtra': 27, 'Odisha': 21, 'West_Bengal': 12}","{'Festivals': 39, 'Costume': 15, 'Dance_and_Music': 12}",0.7272727272727273,0.6818181818181818
12,81,37.03703703703704,44.44444444444444,18.51851851851852,"{'Manipur': 36, 'Assam': 27, 'Jammu_kashmir': 18}","{'Tourism': 36, 'Costume': 24, 'Language': 18}",0.4444444444444444,0.37037037037037035
13,114,26.31578947368421,52.63157894736842,21.052631578947366,"{'Tripura': 36, 'Gujarat': 24, 'Nagaland': 21}","{'Tourism': 48, 'History': 30, 'Art': 21}",0.4473684210526316,0.47368421052631576
14,168,55.35714285714286,23.214285714285715,21.428571428571427,"{'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 111, 'Manipur': 36, 'Meghalaya': 21}","{'Tourism': 126, 'Sports': 42}",0.44642857142857145,0.5
15,54,16.666666666666664,38.88888888888889,44.44444444444444,"{'Tripura': 33, 'Telangana': 21}","{'History': 33, 'Cultural_Common_Sense': 21}",0.7222222222222222,0.7222222222222222
16,72,41.66666666666667,33.33333333333333,25.0,"{'Tamil_Nadu': 24, 'Telangana': 21, 'Manipur': 15}","{'Rituals_and_Ceremonies': 24, 'Tourism': 21, 'Personalities': 15}",0.5,0.4583333333333333
17,186,29.03225806451613,16.129032258064516,54.83870967741935,"{'Telangana': 81, 'West_Bengal': 39, 'Tamil_Nadu': 33}","{'Personalities': 69, 'Tourism': 42, 'Festivals': 39}",0.6129032258064516,0.5645161290322581
18,144,52.083333333333336,27.083333333333332,20.833333333333336,"{'Karnataka': 48, 'Telangana': 39, 'Tripura': 33}","{'Festivals': 45, 'Tourism': 33, 'Rituals_and_Ceremonies': 27}",0.75,0.5208333333333334
