model_type,layer,best_val_loss,final_val_recon,final_val_aux,final_val_l0,epochs_trained,sparsity_ratio,passes_recon,passes_sparsity,passes_validation
base,6,0.0005538864007477714,0.0005538863859177941,0.0,0.03125,100,32.0,True,True,True
base,12,0.0012495106647449552,0.0012495106378656213,0.0,0.03125,100,32.0,True,True,True
base,18,0.0055414454145416335,0.005541445304799802,0.0,0.031249638575657157,100,32.00037010280752,True,True,True
chat,6,0.0006413839586526986,0.0006413839504962111,0.0,0.03125,100,32.0,True,True,True
chat,12,0.001565338960688585,0.0015653389454878582,0.0,0.03125,100,32.0,True,True,True
chat,18,0.006898376823752929,0.006898376651725192,0.0,0.031249705393602892,100,32.000301679794696,True,True,True
delta,6,6.451643234086193e-05,6.451643054504436e-05,0.0,0.03124992710769556,100,32.00007464189385,True,True,True
delta,12,0.0001837946054678422,0.00018379460231647204,0.0,0.031247709966768886,100,32.00234516588491,True,True,True
delta,18,0.001037894730726079,0.0010378947036613704,0.0,0.03124540171046166,100,32.00470934144455,True,True,True
